+-------------------------------------------------+----------+---------------------------------------------+--------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                                   | Meta/dmg | Display name                                | Ore Dict Keys                                                                  | NBT                                                                                                                                         |
| minecraft:dye                                   |        5 | Purple Dye                                  | dye,dyePurple                                                                  |                                                                                                                                             |
| minecraft:dye                                   |        6 | Cyan Dye                                    | dye,dyeCyan                                                                    |                                                                                                                                             |
| minecraft:dye                                   |        7 | Light Gray Dye                              | dye,dyeLightGray                                                               |                                                                                                                                             |
| minecraft:dye                                   |        8 | Gray Dye                                    | dye,dyeGray                                                                    |                                                                                                                                             |
| minecraft:dye                                   |        9 | Pink Dye                                    | dye,dyePink                                                                    |                                                                                                                                             |
| minecraft:dye                                   |       10 | Lime Dye                                    | dye,dyeLime                                                                    |                                                                                                                                             |
| minecraft:dye                                   |       11 | Dandelion Yellow                            | dye,dyeYellow                                                                  |                                                                                                                                             |
| minecraft:dye                                   |       12 | Light Blue Dye                              | dye,dyeLightBlue                                                               |                                                                                                                                             |
| minecraft:dye                                   |       13 | Magenta Dye                                 | dye,dyeMagenta                                                                 |                                                                                                                                             |
| minecraft:dye                                   |       14 | Orange Dye                                  | dye,dyeOrange                                                                  |                                                                                                                                             |
| minecraft:dye                                   |       15 | Bone Meal                                   | bonemeal,dye,dyeWhite                                                          |                                                                                                                                             |
| minecraft:dye                                   |    32767 | (WILDCARD)                                  | dye                                                                            |                                                                                                                                             |
| minecraft:egg                                   |        0 | Egg                                         | egg,listAllegg                                                                 |                                                                                                                                             |
| minecraft:emerald                               |        0 | Emerald                                     | gemEmerald                                                                     |                                                                                                                                             |
| minecraft:emerald_block                         |        0 | Block of Emerald                            | blockEmerald                                                                   |                                                                                                                                             |
| minecraft:emerald_ore                           |        0 | Emerald Ore                                 | oreEmerald                                                                     |                                                                                                                                             |
| minecraft:end_stone                             |        0 | End Stone                                   | endstone                                                                       |                                                                                                                                             |
| minecraft:ender_chest                           |        0 | Ender Chest                                 | chest,chestEnder                                                               |                                                                                                                                             |
| minecraft:ender_pearl                           |        0 | Ender Pearl                                 | enderpearl                                                                     |                                                                                                                                             |
| minecraft:feather                               |        0 | Feather                                     | feather                                                                        |                                                                                                                                             |
| minecraft:fence                                 |        0 | Oak Fence                                   | fenceWood                                                                      |                                                                                                                                             |
| minecraft:fence_gate                            |        0 | Oak Fence Gate                              | fenceGateWood                                                                  |                                                                                                                                             |
| minecraft:fish                                  |        0 | Raw Fish                                    | fish,listAllfishfresh,listAllfishraw,salmonRaw,t2meat                          |                                                                                                                                             |
| minecraft:fish                                  |        1 | Raw Salmon                                  | fish,foodSalmonraw,listAllfishfresh,listAllfishraw                             |                                                                                                                                             |
| minecraft:fish                                  |    32767 | (WILDCARD)                                  | fish,listAllfishfresh,listAllfishraw                                           |                                                                                                                                             |
| minecraft:flint                                 |        0 | Flint                                       | itemRawFlint                                                                   |                                                                                                                                             |
| minecraft:glass                                 |        0 | Glass                                       | blockGlass,blockGlassColorless                                                 |                                                                                                                                             |
| minecraft:glass_bottle                          |        0 | Glass Bottle                                | itemEmptyBottle                                                                |                                                                                                                                             |
| minecraft:glass_pane                            |        0 | Glass Pane                                  | paneGlass,paneGlassColorless                                                   |                                                                                                                                             |
| minecraft:glowstone                             |        0 | Glowstone                                   | glowstone                                                                      |                                                                                                                                             |
| minecraft:glowstone_dust                        |        0 | Glowstone Dust                              | dustGlowstone                                                                  |                                                                                                                                             |
| minecraft:gold_block                            |        0 | Block of Gold                               | blockGold                                                                      |                                                                                                                                             |
| minecraft:gold_ingot                            |        0 | Gold Ingot                                  | ingotGold                                                                      |                                                                                                                                             |
| minecraft:gold_nugget                           |        0 | Gold Nugget                                 | nuggetGold                                                                     |                                                                                                                                             |
| minecraft:gold_ore                              |        0 | Gold Ore                                    | oreGold                                                                        |                                                                                                                                             |
| minecraft:golden_boots                          |    32767 | (WILDCARD)                                  | armor,boots,itemArmor,itemBoots                                                |                                                                                                                                             |
| minecraft:golden_chestplate                     |    32767 | (WILDCARD)                                  | armor,chestplate,itemArmor,itemChestplate                                      |                                                                                                                                             |
| minecraft:golden_helmet                         |    32767 | (WILDCARD)                                  | armor,helmet,itemArmor,itemHelmet                                              |                                                                                                                                             |
| minecraft:golden_leggings                       |    32767 | (WILDCARD)                                  | armor,itemArmor,itemLeggings,leggings                                          |                                                                                                                                             |
| minecraft:grass                                 |        0 | Grass Block                                 | grass                                                                          |                                                                                                                                             |
| minecraft:gravel                                |        0 | Gravel                                      | gravel                                                                         |                                                                                                                                             |
| minecraft:gunpowder                             |        0 | Gunpowder                                   | gunpowder                                                                      |                                                                                                                                             |
| minecraft:hay_block                             |        0 | Hay Bale                                    | kindling                                                                       |                                                                                                                                             |
| minecraft:iron_block                            |        0 | Block of Iron                               | blockIron,ironBlockReplacement                                                 |                                                                                                                                             |
| minecraft:iron_boots                            |    32767 | (WILDCARD)                                  | armor,boots,itemArmor,itemBoots                                                |                                                                                                                                             |
| minecraft:iron_chestplate                       |    32767 | (WILDCARD)                                  | armor,chestplate,itemArmor,itemChestplate                                      |                                                                                                                                             |
| minecraft:iron_helmet                           |    32767 | (WILDCARD)                                  | armor,helmet,itemArmor,itemHelmet                                              |                                                                                                                                             |
| minecraft:iron_ingot                            |        0 | Iron Ingot                                  | ingotIron,ironIngotReplacement                                                 |                                                                                                                                             |
| minecraft:iron_leggings                         |    32767 | (WILDCARD)                                  | armor,itemArmor,itemLeggings,leggings                                          |                                                                                                                                             |
| minecraft:iron_nugget                           |        0 | Iron Nugget                                 | nuggetIron                                                                     |                                                                                                                                             |
| minecraft:iron_ore                              |        0 | Iron Ore                                    | oreIron                                                                        |                                                                                                                                             |
| minecraft:jungle_door                           |        0 | Jungle Door                                 | doorWood                                                                       |                                                                                                                                             |
| minecraft:jungle_fence                          |        0 | Jungle Fence                                | fenceWood                                                                      |                                                                                                                                             |
| minecraft:jungle_fence_gate                     |        0 | Jungle Fence Gate                           | fenceGateWood                                                                  |                                                                                                                                             |
| minecraft:jungle_stairs                         |        0 | Jungle Wood Stairs                          | stairWood                                                                      |                                                                                                                                             |
| minecraft:lapis_block                           |        0 | Lapis Lazuli Block                          | blockLapis                                                                     |                                                                                                                                             |
| minecraft:lapis_ore                             |        0 | Lapis Lazuli Ore                            | oreLapis                                                                       |                                                                                                                                             |
| minecraft:lava_bucket                           |        0 | Lava Bucket                                 | itemLavaBucket                                                                 |                                                                                                                                             |
| minecraft:leather                               |        0 | Leather                                     | leather                                                                        |                                                                                                                                             |
| minecraft:leather_boots                         |    32767 | (WILDCARD)                                  | armor,boots,itemArmor,itemBoots                                                |                                                                                                                                             |
| minecraft:leather_chestplate                    |    32767 | (WILDCARD)                                  | armor,chestplate,itemArmor,itemChestplate                                      |                                                                                                                                             |
| minecraft:leather_helmet                        |    32767 | (WILDCARD)                                  | armor,helmet,itemArmor,itemHelmet                                              |                                                                                                                                             |
| minecraft:leather_leggings                      |    32767 | (WILDCARD)                                  | armor,itemArmor,itemLeggings,leggings                                          |                                                                                                                                             |
| minecraft:leaves                                |    32767 | (WILDCARD)                                  | treeLeaves                                                                     |                                                                                                                                             |
| minecraft:leaves2                               |    32767 | (WILDCARD)                                  | treeLeaves                                                                     |                                                                                                                                             |
| minecraft:log                                   |    32767 | (WILDCARD)                                  | logWood                                                                        |                                                                                                                                             |
| minecraft:log2                                  |    32767 | (WILDCARD)                                  | logWood                                                                        |                                                                                                                                             |
| minecraft:melon_seeds                           |        0 | Melon Seeds                                 | listAllseed,seeds                                                              |                                                                                                                                             |
| minecraft:milk_bucket                           |        0 | Milk                                        | listAllmilk                                                                    |                                                                                                                                             |
| minecraft:mossy_cobblestone                     |    32767 | (WILDCARD)                                  | blockMossy                                                                     |                                                                                                                                             |
| minecraft:mutton                                |        0 | Raw Mutton                                  | foodMeat,foodMuttonraw,listAllmeatraw,listAllmuttonraw,t1meat                  |                                                                                                                                             |
| minecraft:nether_star                           |        0 | Nether Star                                 | netherStar                                                                     |                                                                                                                                             |
| minecraft:nether_wart                           |        0 | Nether Wart                                 | cropNetherWart,seeds                                                           |                                                                                                                                             |
| minecraft:netherbrick                           |        0 | Nether Brick                                | ingotBrickNether                                                               |                                                                                                                                             |
| minecraft:netherrack                            |        0 | Netherrack                                  | netherrack                                                                     |                                                                                                                                             |
| minecraft:netherrack                            |    32767 | (WILDCARD)                                  | netherrack                                                                     |                                                                                                                                             |
| minecraft:oak_stairs                            |        0 | Oak Wood Stairs                             | stairWood                                                                      |                                                                                                                                             |
| minecraft:obsidian                              |        0 | Obsidian                                    | obsidian                                                                       |                                                                                                                                             |
| minecraft:obsidian                              |    32767 | (WILDCARD)                                  | obsidian                                                                       |                                                                                                                                             |
| minecraft:paper                                 |        0 | Paper                                       | kindling,paper                                                                 |                                                                                                                                             |
| minecraft:planks                                |    32767 | (WILDCARD)                                  | plankWood                                                                      |                                                                                                                                             |
| minecraft:porkchop                              |        0 | Raw Porkchop                                | foodMeat,listAllmeatraw,listAllporkraw,t1meat                                  |                                                                                                                                             |
| minecraft:potato                                |        0 | Potato                                      | cropPotato,foodVegetable,listAllveggie                                         |                                                                                                                                             |
| minecraft:prismarine                            |        0 | Prismarine                                  | blockPrismarine,prismarine                                                     |                                                                                                                                             |
| minecraft:prismarine                            |        1 | Prismarine Bricks                           | blockPrismarineBrick,prismarine                                                |                                                                                                                                             |
| minecraft:prismarine                            |        2 | Dark Prismarine                             | blockPrismarineDark,prismarine                                                 |                                                                                                                                             |
| minecraft:prismarine                            |    32767 | (WILDCARD)                                  | prismarine                                                                     |                                                                                                                                             |
| minecraft:prismarine_crystals                   |        0 | Prismarine Crystals                         | dustPrismarine                                                                 |                                                                                                                                             |
| minecraft:prismarine_shard                      |        0 | Prismarine Shard                            | gemPrismarine                                                                  |                                                                                                                                             |
| minecraft:pufferfish                            |        0 | Pufferfish                                  | listAllfishfresh,listAllfishraw                                                |                                                                                                                                             |
| minecraft:pumpkin                               |        0 | Pumpkin                                     | cropPumpkin,foodVegetable,listAllveggie                                        |                                                                                                                                             |
| minecraft:pumpkin_seeds                         |        0 | Pumpkin Seeds                               | listAllseed,seeds                                                              |                                                                                                                                             |
| minecraft:quartz                                |        0 | Nether Quartz                               | gemQuartz                                                                      |                                                                                                                                             |
| minecraft:quartz_block                          |        0 | Block of Quartz                             | blockQuartz                                                                    |                                                                                                                                             |
| minecraft:quartz_ore                            |        0 | Nether Quartz Ore                           | oreQuartz                                                                      |                                                                                                                                             |
| minecraft:rabbit                                |        0 | Raw Rabbit                                  | foodMeat,foodRabbitraw,listAllmeatraw,listAllrabbitraw,t2meat                  |                                                                                                                                             |
| minecraft:rabbit_hide                           |        0 | Rabbit Hide                                 | portionHideSmall                                                               |                                                                                                                                             |
| minecraft:record_11                             |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_13                             |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_blocks                         |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_cat                            |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_chirp                          |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_far                            |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_mall                           |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_mellohi                        |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_stal                           |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_strad                          |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_wait                           |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:record_ward                           |        0 | Music Disc                                  | record                                                                         |                                                                                                                                             |
| minecraft:red_flower                            |        0 | Poppy                                       | flower,flowerRed                                                               |                                                                                                                                             |
| minecraft:red_flower                            |    32767 | (WILDCARD)                                  | flower                                                                         |                                                                                                                                             |
| minecraft:red_mushroom                          |        0 | Mushroom                                    | listAllmushroom,mushroomAny                                                    |                                                                                                                                             |
| minecraft:red_sandstone                         |    32767 | (WILDCARD)                                  | sandstone                                                                      |                                                                                                                                             |
| minecraft:redstone                              |        0 | Redstone                                    | dustRedstone                                                                   |                                                                                                                                             |
| minecraft:redstone_block                        |        0 | Block of Redstone                           | blockRedstone                                                                  |                                                                                                                                             |
| minecraft:redstone_ore                          |        0 | Redstone Ore                                | oreRedstone                                                                    |                                                                                                                                             |
| minecraft:reeds                                 |        0 | Sugar Canes                                 | sugarcane                                                                      |                                                                                                                                             |
| minecraft:rotten_flesh                          |        0 | Rotten Flesh                                | rottenflesh                                                                    |                                                                                                                                             |
| minecraft:salmon                                |        0 | Raw Salmon                                  | listAllfishfresh,listAllfishraw,salmonRaw                                      |                                                                                                                                             |
| minecraft:sand                                  |    32767 | (WILDCARD)                                  | sand                                                                           |                                                                                                                                             |
| minecraft:sandstone                             |    32767 | (WILDCARD)                                  | sandstone                                                                      |                                                                                                                                             |
| minecraft:sapling                               |        0 | Oak Sapling                                 | treeSapling                                                                    |                                                                                                                                             |
| minecraft:sapling                               |    32767 | (WILDCARD)                                  | treeSapling                                                                    |                                                                                                                                             |
| minecraft:shield                                |    32767 | (WILDCARD)                                  | itemShield,shield                                                              |                                                                                                                                             |
| minecraft:slime                                 |        0 | Slime Block                                 | blockAdhesive,blockSlime                                                       |                                                                                                                                             |
| minecraft:slime                                 |    32767 | (WILDCARD)                                  | blockSlime                                                                     |                                                                                                                                             |
| minecraft:slime_ball                            |        0 | Slimeball                                   | slimeball,slimeballGreen                                                       |                                                                                                                                             |
| minecraft:slime_ball                            |    32767 | (WILDCARD)                                  | slimeballGreen                                                                 |                                                                                                                                             |
| minecraft:sponge                                |    32767 | (WILDCARD)                                  | blockSponge,sponge                                                             |                                                                                                                                             |
| minecraft:spruce_door                           |        0 | Spruce Door                                 | doorWood                                                                       |                                                                                                                                             |
| minecraft:spruce_fence                          |        0 | Spruce Fence                                | fenceWood                                                                      |                                                                                                                                             |
| minecraft:spruce_fence_gate                     |        0 | Spruce Fence Gate                           | fenceGateWood                                                                  |                                                                                                                                             |
| minecraft:spruce_stairs                         |        0 | Spruce Wood Stairs                          | stairWood                                                                      |                                                                                                                                             |
| minecraft:stained_glass                         |        0 | White Stained Glass                         | blockGlass,blockGlassWhite                                                     |                                                                                                                                             |
| minecraft:stained_glass                         |        1 | Orange Stained Glass                        | blockGlass,blockGlassOrange                                                    |                                                                                                                                             |
| minecraft:stained_glass                         |        2 | Magenta Stained Glass                       | blockGlass,blockGlassMagenta                                                   |                                                                                                                                             |
